name;description;unit_price;unit;tax_name
1010009453;PLACAS DE SINALIZACOES  10 UNIDADES 30X20X60;13.98;unit;
2071550500;"REFIL ACUCAR EM OLEO COPAIBA & ANDIROBA 500 ML
";16.26;unit;
2071030500;"REFIL ACUCAR EM OLEO CUPUACU & CASTANHA 500 ML
";16.26;unit;
2131529400;REFIL CONDICIONADOR MURU MURU & PATAUA 1000 ML (CX C/ 10 UND;145.53;unit;
2131109414;REFIL CONDICIONADOR VERBENA & BAMBU 1000 ML (CX C/ 10 UND);152.03;unit;
2091529401;REFIL GEL DE BANHO MURU MURU & PATAUA 1000 G (CX C/ 10 UND);117.07;unit;
2091109415;REFIL GEL DE BANHO VERBENA & BAMBU 1000 G (CX C/ 10 UND);120.33;unit;
2071080350;REFIL HIDRATANTE CORPORAL BUQUE DE PEONIAS 350 ML;6.34;unit;
2070190350;REFIL HIDRATANTE CORPORAL TERRA MADRE 350 ML;6.34;unit;
2090550500;"REFIL SABONETE LIQUIDO ALECRIM 500ML
";11.79;unit;
2090580500;"REFIL SABONETE LIQUIDO AMBAR 500ML
";11.79;unit;
2091070500;"REFIL SABONETE LIQUIDO BAMBU 500 ML
";11.79;unit;
2091080500;"REFIL SABONETE LIQUIDO BUQUE DE PEONIAS 500 ML
";11.79;unit;
2090020500;"REFIL SABONETE LIQUIDO CASCAS & FOLHAS 500 ML
";11.79;unit;
2090110500;"REFIL SABONETE LIQUIDO CURUMIM 500ML
";11.79;unit;
2090490500;"REFIL SABONETE LIQUIDO FLOR DE ALGODAO 500ML
";11.79;unit;
2090250500;"REFIL SABONETE LIQUIDO MARRUA 500ML
";11.79;unit;
2090230500;"REFIL SABONETE LIQUIDO PITANGA 500ML
";11.79;unit;
2090640500;"REFIL SABONETE LIQUIDO PROVENCE 500ML
";11.79;unit;
2090190500;"REFIL SABONETE LIQUIDO TERRA MADRE 500ML
";11.79;unit;
2111340190;REFIL SAIS DE BANHO E ESPUMA LEMONGRASS 190 G - RITOS;5.53;unit;
2110620190;REFIL SAIS DE BANHO E ESPUMA MURU MURU 190 G - RITOS;5.53;unit;
2110740190;REFIL SAIS DE BANHO E ESPUMA YLANG YLANG 190 G - RITOS;5.53;unit;
2111330190;REFIL SAIS DE BANHO E ESPUMA ZIMBRO 190 G - RITOS;5.53;unit;
2131529399;REFIL XAMPU MURU MURU & PATAUA 1000 ML (CX C/ 10 UND);162.60;unit;
2131109413;"REFIL XAMPU VERBENA & BAMBU 1000 ML (CX C/ 10 UND)
";139.59;unit;
1091490030;SABONETE EM BARRA 2 EM 1 SELETO 30 G;0.00;unit;
1090800100;SABONETE EM BARRA ALECRIM & CAPIM LIMAO 100 G (CX/ 3 UND);5.85;unit;
1090550120;"SABONETE EM BARRA ALECRIM 120 G
";3.98;unit;
1090580120;"SABONETE EM BARRA AMBAR 120 G
";3.98;unit;
1091050100;SABONETE EM BARRA AMORA & PITANGA 100 G (CX/3 UNI);5.85;unit;
1091070120;"SABONETE EM BARRA BAMBU 120 G
";3.98;unit;
1091119128;SABONETE EM BARRA BONISSIMO 100 G (CX/3 UNID);10.81;unit;
1091609195;SABONETE EM BARRA BONISSIMO BLACK (CX. C/ 3 UND.);10.81;unit;
1091600030;SABONETE EM BARRA BONISSIMO BLACK 30 G;0.00;unit;
1091080120;SABONETE EM BARRA BUQUE DE PEONIAS 120 G (CX/ 3 UNID.);18.70;unit;
1090020120;"SABONETE EM BARRA CASCAS & FOLHAS 120 G
";3.98;unit;
1090830200;SABONETE EM BARRA CHA VERDE & ERVAS 200 G - DIA DIA;4.39;unit;
1090830030;SABONETE EM BARRA CHA VERDE & ERVAS 30 G;0.00;unit;
1090490120;"SABONETE EM BARRA FLOR DE ALGODAO 120 G
";3.98;unit;
1090760200;SABONETE EM BARRA FLOR DE CEREJEIRA 200 G - DIA DIA;4.39;unit;
1091500100;SABONETE EM BARRA GIGI 100 G (CX COM 2 UNID.);9.35;unit;
1091040100;SABONETE EM BARRA LAVANDA & AMBAR 100 G (CX/3 UNID);5.85;unit;
1090010200;SABONETE EM BARRA LAVANDA 200 G - DIA DIA;4.39;unit;
