loja;codigo;descricao;familia;subfam;unidade;iva;datacriacao;retalho;fundo;letra;vendersemstock;precovenda;codbarras;iva2
2;1060009248;SACOLA M VERDE ALCA GORGURAO;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;0.00;7899891302187;23.0
2;1060009249;SACOLA G VERDE ALCA GORGURAO;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;0.00;7899891302194;23.0
2;1060009376;PASTA GRAFITE PORTFOLIO DE FRAGANCIAS;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;0.00;7899891307342;23.0
2;1060009381;FITA CETIM DOURADA 38MM C/ LOGO AVATIM (70 METROS);1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;0.00;7899891308455;23.0
2;1060009388;FITA GORGURAO VERDE 15MM REFUGIO DE BOAS SENSACOES (70 MT);1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;0.00;7899891308981;23.0
2;1060010002;AMOSTRA BANHO REFRESCANTE LAVANDA 2 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;0.00;7899891304099;23.0
2;1060760002;AMOSTRA BANHO REFRESCANTE FLOR DE CEREJEIRA 2 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;0.00;7899891304082;23.0
2;1060830002;AMOSTRA BANHO REFRESCANTE CHA VERDE & ERVAS 2 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;0.00;7899891304075;23.0
2;1061100005;AMOSTRA AGUA REFRESCANTE VERBENA & BAMBU 2 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;0.00;7899891303955;23.0
2;1061110005;AMOSTRA DEO COLONIA BONISSIMO 2 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;0.00;7898464626637;23.0
2;1061150002;AMOSTRA AGUA DE COLONIA APOENA 2 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;0.00;7898464629362;23.0
2;1061490002;AMOSTRA DEO PARFUM MASCULINO SELETO 2 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;0.00;7899891302712;23.0
2;1061500005;AMOSTRA DEO COLONIA FEMININA GIGI 2 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;0.00;7899891302033;23.0
2;1061570005;AMOSTRA DEO COLONIA AMAU 2 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;0.00;7899891301265;23.0
2;1061600005;AMOSTRA DEO COLONIA BONISSIMO BLACK 2 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;0.00;7899891301494;23.0
2;1061780002;AMOSTRA DEO PARFUM SELETO OCEAN 2 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;0.00;7899891308189;23.0
2;1061810005;AMOSTRA DEO COLONIA ACUCENA 2 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;0.00;7899891306291;23.0
2;1061860002;AMOSTRA DEO COLONIA SUBLIME 2 ML;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;0.00;7899891309032;23.0
2;1061870002;AMOSTRA AGUA REFRESCANTE RELAXAMENTO 2 ML - AGUAS NATURAIS;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;0.00;7899891308059;23.0
2;1061880002;AMOSTRA AGUA REFRESCANTE ACONCHEGO 2 ML - AGUAS NATURAIS;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;0.00;7899891308066;23.0
2;1061890002;AMOSTRA AGUA REFRESCANTE ENERGIA 2 ML - AGUAS NATURAIS;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;0.00;7899891308073;23.0
